application	activity	logged
808207	Application was flagged	2025-04-23T12:50:43Z
808207	Interview was evaluated	2025-05-03T10:45:27Z
808207	Interview was evaluated	2025-05-08T11:52:14Z
808207	Applicant decision: ['None']	2025-06-03T13:12:54Z
808207	Offer was edited: ['Scholarship']	2025-06-03T13:12:54Z
808207	Offer was confirmed: ['Scholarship']	2025-06-03T13:12:54Z
808207	Applicant decision: ['None']	2025-06-03T13:14:15Z
808207	Offer was edited: ['Conditionally accepted']	2025-06-03T13:14:15Z
808207	Offer was confirmed: ['Conditionally accepted']	2025-06-03T13:14:15Z
808207	Invoice was issued	2025-06-03T13:14:15Z
808207	Invoice was deleted	2025-06-03T13:14:22Z
808207	Invoice was issued	2025-06-03T13:14:36Z
808207	Invoice was issued	2025-06-03T13:14:55Z
809681	Application was flagged	2025-04-23T13:25:56Z
809681	Interview was evaluated	2025-04-26T10:18:29Z
809681	Interview was evaluated	2025-05-16T08:55:18Z
809681	Applicant decision: ['None']	2025-06-03T13:21:29Z
809681	Offer was edited: ['Scholarship']	2025-06-03T13:21:29Z
809681	Offer was confirmed: ['Scholarship']	2025-06-03T13:21:29Z
809681	Applicant decision: ['None']	2025-06-03T13:23:03Z
809681	Offer was edited: ['Conditionally accepted']	2025-06-03T13:23:03Z
809681	Offer was confirmed: ['Conditionally accepted']	2025-06-03T13:23:04Z
809681	Invoice was issued	2025-06-03T13:23:04Z
809681	Invoice was deleted	2025-06-03T13:23:12Z
809681	Invoice was issued	2025-06-03T13:23:20Z
809681	Invoice was issued	2025-06-03T13:23:40Z
807450	Tracker was added to ['IEES']	2025-01-09T12:15:09Z
807450	Tracker was removed to ['IEES']	2025-04-08T15:01:40Z
807450	Application was flagged	2025-04-09T14:53:47Z
807450	Tracker was added to ['IEES']	2025-04-09T16:00:20Z
807450	Tracker was removed to ['IEES']	2025-04-09T16:00:22Z
807450	Interview was evaluated	2025-04-09T16:09:14Z
807450	Applicant decision: ['None']	2025-04-09T16:12:22Z
807450	Offer was edited: ['Conditionally accepted']	2025-04-09T16:12:22Z
807450	Offer was confirmed: ['Conditionally accepted']	2025-04-09T16:12:22Z
807450	Invoice was issued	2025-04-09T16:12:22Z
807450	Invoice was edited	2025-04-09T16:12:37Z
807450	Applicant decision: ['Final']	2025-04-30T16:20:11Z
807450	Offer was edited: ['49']	2025-04-30T16:20:12Z
807450	Offer was confirmed: ['49']	2025-04-30T16:20:12Z
807450	Application was flagged	2025-05-03T10:13:28Z
807450	Interview was evaluated	2025-05-07T13:29:28Z
807450	Applicant decision: ['Declined']	2025-05-29T09:52:50Z
807450	Offer was edited: ['Other']	2025-05-29T09:52:50Z
807450	Applicant decision: ['None']	2025-06-05T11:20:22Z
807450	Offer was edited: ['Scholarship']	2025-06-05T11:20:22Z
807450	Offer was confirmed: ['Scholarship']	2025-06-05T11:20:22Z
807450	Applicant decision: ['None']	2025-08-15T11:09:51Z
807450	Offer was edited: ['Accepted']	2025-08-15T11:09:51Z
807450	Offer was confirmed: ['Accepted']	2025-08-15T11:09:51Z
809328	Invoice was deleted	2025-05-06T14:19:18Z
809328	Interview was evaluated	2025-05-09T10:52:57Z
809328	Interview was evaluated	2025-05-24T13:06:59Z
809328	Offer was edited: ['Failed']	2025-06-06T09:34:59Z
809328	Offer was confirmed: ['Failed']	2025-06-06T09:34:59Z
809328	Applicant decision: ['None']	2025-06-06T09:36:00Z
809328	Offer was edited: ['Conditionally accepted']	2025-06-06T09:36:00Z
809328	Offer was confirmed: ['Conditionally accepted']	2025-06-06T09:36:00Z
809328	Invoice was issued	2025-06-06T09:36:00Z
809328	Invoice was edited	2025-06-06T09:36:15Z
809328	Applicant decision: ['None']	2025-06-17T12:52:50Z
809328	Offer was edited: ['Scholarship']	2025-06-17T12:52:50Z
809328	Offer was confirmed: ['Scholarship']	2025-06-17T12:52:50Z
809328	Invoice was deleted	2025-06-17T12:53:10Z
809328	Invoice was issued	2025-06-17T12:53:15Z
806247	Invoice was deleted	2025-04-29T15:16:58Z
806247	Application was flagged	2025-05-10T10:48:23Z
806247	Application was flagged	2025-05-10T10:48:33Z
806247	Interview was evaluated	2025-05-13T11:03:17Z
806247	Application was flagged	2025-05-13T14:53:55Z
806247	Applicant decision: ['None']	2025-05-13T15:06:11Z
806247	Offer was edited: ['Conditionally accepted']	2025-05-13T15:06:11Z
806247	Offer was confirmed: ['Conditionally accepted']	2025-05-13T15:06:11Z
806247	Invoice was issued	2025-05-13T15:06:11Z
806247	Invoice was edited	2025-05-13T15:06:23Z
806247	Interview was evaluated	2025-05-28T09:37:55Z
806247	Applicant decision: ['None']	2025-06-05T14:23:40Z
806247	Offer was edited: ['Scholarship']	2025-06-05T14:23:40Z
806247	Offer was confirmed: ['Scholarship']	2025-06-05T14:23:40Z
806247	Invoice was deleted	2025-06-05T14:23:47Z
806247	Applicant decision: ['None']	2025-06-05T14:25:12Z
806247	Offer was edited: ['Conditionally accepted']	2025-06-05T14:25:12Z
806247	Offer was confirmed: ['Conditionally accepted']	2025-06-05T14:25:12Z
806247	Invoice was issued	2025-06-05T14:25:25Z
806247	Invoice was issued	2025-06-05T14:25:41Z
806247	Invoice was deleted	2025-07-11T15:31:20Z
806247	Invoice was deleted	2025-07-11T15:31:22Z
806247	Offer was edited: ['49']	2025-07-12T12:40:54Z
806247	Offer was confirmed: ['49']	2025-07-12T12:40:55Z
806247	Invoice was issued	2025-07-12T12:54:08Z
806247	Applicant decision: ['None']	2025-08-15T12:38:08Z
806247	Offer was edited: ['Accepted']	2025-08-15T12:38:08Z
806247	Offer was confirmed: ['Accepted']	2025-08-15T12:38:08Z
806247	Course was added to application	2025-09-04T10:17:35Z
806247	Application was edited	2025-09-04T10:17:38Z
806247	Applicant decision: ['None']	2025-09-04T10:18:29Z
806247	Offer was edited: ['Accepted']	2025-09-04T10:18:29Z
806247	Offer was confirmed: ['Accepted']	2025-09-04T10:18:29Z
806247	Offer was edited: ['Other']	2025-09-04T10:18:39Z
806247	Offer was confirmed: ['Other']	2025-09-04T10:18:39Z
806247	Application was un-flagged	2025-09-20T16:22:44Z
806247	Application was flagged	2025-09-20T16:23:09Z
806247	Application was un-flagged	2025-09-20T16:23:16Z
806247	Interview was evaluated	2025-09-25T10:54:14Z
809885	Invoice was collected	2025-04-25T12:21:41Z
809885	Invoice was collected in full	2025-04-25T12:21:41Z
