applicant_id	email_id	inserted	delivered	failed	opened	from_email	from_name	subject	attachments	http_status
61823	1531283	2025-10-13T14:05:19+03:00	2025-10-13T14:07:24+03:00		2025-10-13T14:07:35+03:00	admissions@vilniustech.lt	VILNIUS TECH	Quick Check for TRP Status		200
61823	1529049	2025-09-10T10:49:24+03:00	2025-09-10T10:50:21+03:00		2025-09-10T10:50:33+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1528353	2025-09-03T10:49:23+03:00	2025-09-03T10:50:20+03:00		2025-09-03T15:46:54+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1528352	2025-09-03T10:45:57+03:00	2025-09-03T10:46:20+03:00		2025-09-03T15:47:04+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reply Other from Vilnius Gediminas Technical Unive		200
61823	1528351	2025-09-03T10:45:47+03:00	2025-09-03T10:46:20+03:00		2025-09-03T15:47:04+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reply Accepted from Vilnius Gediminas Technical Un	attachment_included	200
61823	1527908	2025-08-29T14:57:17+03:00	2025-08-29T14:57:21+03:00		2025-08-29T14:57:28+03:00	admissions@vilniustech.lt	VILNIUS TECH	Vilnius Gediminas Technical University invites you		200
61823	1527276	2025-08-29T13:52:38+03:00	2025-08-29T13:53:23+03:00		2025-08-29T13:53:31+03:00	admissions@vilniustech.lt	VILNIUS TECH	Orientation Online Day (August th) material		200
61823	1525727	2025-08-26T10:44:29+03:00	2025-08-26T10:49:23+03:00		2025-08-26T11:25:44+03:00	admissions@vilniustech.lt	VILNIUS TECH	Updated the Arrival Information Form		200
61823	1525186	2025-08-21T13:22:21+03:00	2025-08-21T13:23:21+03:00		2025-08-21T13:23:36+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1524527	2025-08-21T11:26:20+03:00	2025-08-21T11:27:25+03:00		2025-08-21T11:33:11+03:00	admissions@vilniustech.lt	VILNIUS TECH	TRP process		200
61823	1523520	2025-08-14T13:11:23+03:00	2025-08-14T13:12:20+03:00		2025-08-14T13:38:02+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1523515	2025-08-14T13:05:26+03:00	2025-08-14T13:06:21+03:00		2025-08-21T16:43:29+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reply Accepted from Vilnius Gediminas Technical Un	attachment_included	200
61823	1518705	2025-07-23T00:27:24+03:00	2025-07-23T00:28:23+03:00		2025-07-23T00:56:30+03:00	admissions@vilniustech.lt	VILNIUS TECH	Payment reminder		200
61823	1515589	2025-07-11T13:21:26+03:00	2025-07-11T13:22:19+03:00		2025-07-11T13:22:27+03:00	admissions@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1515577	2025-07-11T13:08:13+03:00	2025-07-11T13:08:21+03:00		2025-07-11T13:21:56+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reply Accepted, TRP process from Vilnius Gediminas	attachment_included	200
61823	1506616	2025-06-16T00:27:32+03:00	2025-06-16T00:29:26+03:00		2025-06-16T00:29:32+03:00	admissions@vilniustech.lt	VILNIUS TECH	Payment reminder		200
61823	1501424	2025-06-11T15:17:27+03:00	2025-06-11T15:19:23+03:00		2025-06-11T15:24:16+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1499729	2025-06-07T15:09:28+03:00	2025-06-07T15:11:23+03:00		2025-06-07T15:11:39+03:00	admissions@vilniustech.lt	VILNIUS TECH	Payment reminder		200
61823	1498142	2025-06-04T15:09:31+03:00	2025-06-04T15:10:26+03:00		2025-06-04T15:12:40+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1498125	2025-06-04T14:52:59+03:00	2025-06-04T14:54:21+03:00		2025-06-04T14:54:27+03:00	admissions@vilniustech.lt	VILNIUS TECH	Invoice #-		200
